trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;1;1;0;0;0;1576;1576;0;0;0;1;-1;AC;1000;1500;2000;1000;;;;
;1;1;0;0;0;596;596;0;0;0;1;-1;SP;2000;1000;2000;2000;;;;
;2;1;0;0;0;782;782;0;0;0;1;1;SP;1000;2000;2000;2000;;;;
;2;1;0;0;0;1342;1342;0;0;0;0;1;AC;1500;1000;2000;2000;;;;
;1;1;0;0;0;587;587;0;0;0;0;-1;SP;1500;500;2000;1000;;;;
;2;1;0;0;0;477;477;0;0;0;0;1;SP;500;1000;2000;1000;;;;
;1;1;0;0;0;431;431;0;0;0;0;-1;SP;500;2000;2000;1500;;;;
;2;1;0;0;0;724;724;0;0;0;0;1;SP;500;2000;2000;500;;;;
;2;2;0;0;0;1541;1541;0;0;0;0;1;SP;500;1000;2000;2000;;;;
;1;2;0;0;0;985;985;0;0;0;0;-1;AC;500;1500;2000;1500;;;;
;1;2;0;0;0;1245;1245;0;0;0;0;-1;AC;500;1000;2000;1500;;;;
;1;2;0;0;0;921;921;0;0;0;0;-1;SP;500;2000;2000;2000;;;;
;2;2;0;0;0;915;915;0;0;0;1;1;AC;2000;1000;2000;500;;;;
;1;1;0;0;0;512;512;0;0;0;1;-1;SP;1500;2000;2000;1000;;;;
;2;1;0;0;0;452;452;0;0;0;1;1;SP;1500;1500;2000;1500;;;;
;2;2;0;0;0;756;756;0;0;0;1;1;SP;1000;2000;2000;2000;;;;
;2;2;0;0;0;523;523;0;0;0;1;1;SP;500;1000;2000;500;;;;
;2;2;0;0;0;472;472;0;0;0;1;1;SP;2000;1500;2000;1500;;;;
;1;1;0;0;0;930;930;0;0;0;1;-1;AC;1500;2000;2000;500;;;;
;2;2;0;0;0;1405;1405;0;0;0;1;1;SP;500;1500;2000;1500;;;;
;2;2;0;0;0;696;696;0;0;0;1;1;SP;2000;500;2000;2000;;;;
;1;1;0;0;0;558;558;0;0;0;1;-1;AC;2000;500;2000;1000;;;;
;1;2;0;0;0;1061;1061;0;0;0;0;-1;AC;500;500;2000;1500;;;;
;2;2;0;0;0;1047;1047;0;0;0;0;1;SP;2000;1500;2000;1000;;;;
;1;1;0;0;0;1098;1098;0;0;0;1;-1;AC;500;1000;2000;1500;;;;
;2;2;0;0;0;683;683;0;0;0;1;1;AC;500;1500;2000;2000;;;;
;1;2;0;0;0;906;906;0;0;0;0;-1;AC;1000;1500;2000;2000;;;;
;1;1;0;0;0;711;711;0;0;0;0;-1;SP;500;500;2000;500;;;;
;1;2;0;0;0;934;934;0;0;0;0;-1;SP;2000;2000;2000;500;;;;
;1;2;0;0;0;865;865;0;0;0;0;-1;AC;500;1500;2000;1500;;;;
;2;2;0;0;0;590;590;0;0;0;0;1;SP;2000;2000;2000;2000;;;;
;1;2;0;0;0;578;578;0;0;0;0;-1;SP;2000;1500;2000;2000;;;;
