trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;1;1;0;0;0;596;596;0;0;0;;-1;SP;2000;500;2000;500;;;;
;1;1;0;0;0;790;790;0;0;0;1;-1;AC;1000;2000;2000;2000;;;;
;2;2;0;0;0;525;525;0;0;0;1;1;SP;500;2000;2000;2000;;;;
;1;1;0;0;0;524;524;0;0;0;1;-1;SP;1000;1500;2000;500;;;;
;2;1;0;0;0;724;724;0;0;0;0;1;AC;1500;1000;2000;1000;;;;
;2;2;2;0;0;294;294;1694;0;0;0;1;SP;500;2000;2000;1500;;;;
;2;2;2;0;0;496;496;656;0;0;0;1;SP;500;1500;2000;2000;;;;
;1;1;0;0;0;753;753;0;0;0;1;-1;AC;2000;2000;2000;1000;;;;
;1;1;0;0;0;448;448;0;0;0;1;-1;SP;1000;1000;2000;1500;;;;
;1;1;0;0;0;602;602;0;0;0;1;-1;SP;500;1500;2000;1500;;;;
;2;2;0;0;0;759;759;0;0;0;1;1;AC;1500;1000;2000;500;;;;
;2;1;0;0;0;519;519;0;0;0;1;1;SP;500;500;2000;1500;;;;
;2;2;0;0;0;524;524;0;0;0;1;1;SP;1500;1000;2000;500;;;;
;2;2;0;0;0;385;385;0;0;0;1;1;SP;2000;1500;2000;1500;;;;
;1;1;0;0;0;383;383;0;0;0;1;-1;SP;2000;1000;2000;500;;;;
;1;1;0;0;0;711;711;0;0;0;1;-1;AC;1500;1000;2000;500;;;;
;2;2;0;0;0;628;628;0;0;0;1;1;AC;1000;1000;2000;1000;;;;
;1;1;0;0;0;696;696;0;0;0;1;-1;AC;2000;2000;2000;2000;;;;
;2;2;0;0;0;664;664;0;0;0;1;1;AC;1500;1000;2000;500;;;;
;2;2;0;0;0;468;468;0;0;0;1;1;SP;1500;500;2000;1500;;;;
;2;2;0;0;0;778;778;0;0;0;1;1;AC;500;1500;2000;1000;;;;
;1;1;0;0;0;671;671;0;0;0;1;-1;SP;2000;1000;2000;1500;;;;
;2;2;0;0;0;486;486;0;0;0;1;1;AC;2000;1000;2000;1000;;;;
;1;2;0;0;0;491;491;0;0;0;0;-1;AC;500;500;2000;1000;;;;
;1;1;0;0;0;260;260;0;0;0;0;-1;SP;1500;1000;2000;500;;;;
;2;2;0;0;0;350;350;0;0;0;0;1;SP;2000;2000;2000;1500;;;;
;2;2;0;0;0;652;652;0;0;0;1;1;AC;2000;2000;2000;2000;;;;
;1;1;0;0;0;318;318;0;0;0;1;-1;SP;500;1000;2000;2000;;;;
;2;2;0;0;0;478;478;0;0;0;1;1;AC;2000;500;2000;2000;;;;
;2;2;0;0;0;380;380;0;0;0;1;1;SP;1500;1000;2000;2000;;;;
;2;1;0;0;0;547;547;0;0;0;1;1;SP;1500;1000;2000;1500;;;;
;1;1;0;0;0;587;587;0;0;0;1;-1;AC;500;1000;2000;1500;;;;
;2;2;0;0;0;440;440;0;0;0;1;1;SP;1500;1000;2000;2000;;;;
;1;2;0;0;0;794;794;0;0;0;0;-1;AC;1000;2000;2000;1500;;;;
;2;1;0;0;0;339;339;0;0;0;0;1;SP;1500;2000;2000;1000;;;;
;1;1;0;0;0;693;693;0;0;0;0;-1;SP;2000;500;2000;1500;;;;
;2;2;0;0;0;663;663;0;0;0;1;1;AC;2000;1500;2000;1500;;;;
;2;2;0;0;0;668;668;0;0;0;1;1;AC;1000;1500;2000;1500;;;;
;2;1;0;0;0;281;281;0;0;0;1;1;SP;1500;1000;2000;500;;;;
;1;1;0;0;0;665;665;0;0;0;1;-1;AC;500;500;2000;1500;;;;
;2;2;0;0;0;482;482;0;0;0;1;1;SP;2000;2000;2000;2000;;;;
;1;1;0;0;0;572;572;0;0;0;1;-1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;473;473;0;0;0;1;1;SP;2000;1500;2000;2000;;;;
;1;1;0;0;0;401;401;0;0;0;1;-1;SP;1000;2000;2000;2000;;;;
;2;2;0;0;0;289;289;0;0;0;1;1;SP;500;500;2000;500;;;;
;2;1;0;0;0;267;267;0;0;0;1;1;SP;2000;2000;2000;1000;;;;
;2;2;0;0;0;773;773;0;0;0;1;1;AC;1500;1000;2000;500;;;;
;1;1;0;0;0;693;693;0;0;0;1;-1;AC;1500;1000;2000;1000;;;;
;1;1;0;0;0;812;812;0;0;0;1;-1;AC;1500;500;2000;2000;;;;
;2;1;0;0;0;619;619;0;0;0;0;1;AC;500;500;2000;2000;;;;
;1;1;0;0;0;667;667;0;0;0;0;-1;SP;1500;1000;2000;1000;;;;
;2;2;0;0;0;594;594;0;0;0;0;1;SP;1500;500;2000;1000;;;;
;2;2;0;0;0;597;597;0;0;0;1;1;AC;500;2000;2000;2000;;;;
;2;1;0;0;0;481;481;0;0;0;1;1;SP;1500;500;2000;1500;;;;
;2;2;0;0;0;349;349;0;0;0;1;1;SP;2000;1500;2000;1500;;;;
;2;2;0;0;0;491;491;0;0;0;1;1;AC;2000;2000;2000;1000;;;;
;1;1;0;0;0;568;568;0;0;0;1;-1;AC;500;1000;2000;1500;;;;
;2;2;0;0;0;378;378;0;0;0;1;1;SP;1500;500;2000;1500;;;;
;1;1;0;0;0;531;531;0;0;0;1;-1;SP;1000;1000;2000;2000;;;;
;1;1;0;0;0;541;541;0;0;0;1;-1;AC;1000;2000;2000;1000;;;;
;1;2;0;0;0;759;759;0;0;0;0;-1;AC;2000;1500;2000;1500;;;;
;2;2;0;0;0;800;800;0;0;0;1;1;AC;500;1500;2000;500;;;;
;2;1;0;0;0;374;374;0;0;0;1;1;SP;1000;1000;2000;500;;;;
;2;2;0;0;0;561;561;0;0;0;1;1;AC;500;1000;2000;1000;;;;
;1;1;0;0;0;497;497;0;0;0;1;-1;AC;500;1500;2000;2000;;;;
;1;2;0;0;0;386;386;0;0;0;1;-1;SP;500;1000;2000;1500;;;;
;1;1;0;0;0;583;583;0;0;0;1;-1;SP;500;2000;2000;500;;;;
