trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;1;0;0;0;942;942;0;0;0;;1;SP;500;1500;2000;1500;;;;
;1;2;0;0;0;1003;1003;0;0;0;0;-1;AC;1500;1000;2000;2000;;;;
;1;1;0;0;0;1129;1129;0;0;0;1;-1;AC;1000;1500;2000;500;;;;
;1;1;0;0;0;1681;1681;0;0;0;1;-1;AC;1000;1500;2000;1500;;;;
;1;1;0;0;0;716;716;0;0;0;1;-1;SP;500;1500;2000;1000;;;;
;1;1;0;0;0;910;910;0;0;0;1;-1;SP;500;500;2000;1500;;;;
;1;1;0;0;0;688;688;0;0;0;1;-1;AC;1000;1000;2000;1500;;;;
;2;2;0;0;0;866;866;0;0;0;1;1;AC;2000;1500;2000;1500;;;;
;1;1;0;0;0;950;950;0;0;0;1;-1;AC;500;2000;2000;1500;;;;
;2;2;0;0;0;848;848;0;0;0;1;1;SP;500;1500;2000;2000;;;;
;2;1;0;0;0;754;754;0;0;0;0;1;AC;2000;1000;2000;2000;;;;
;2;1;0;0;0;890;890;0;0;0;0;1;AC;500;2000;2000;1000;;;;
;1;1;0;0;0;911;911;0;0;0;0;-1;SP;1000;2000;2000;1500;;;;
;1;1;0;0;0;909;909;0;0;0;0;-1;SP;1000;500;2000;500;;;;
;2;1;0;0;0;1578;1578;0;0;0;0;1;AC;1500;2000;2000;1500;;;;
;1;2;0;0;0;423;423;0;0;0;0;-1;SP;2000;500;2000;500;;;;
;2;1;0;0;0;823;823;0;0;0;0;1;AC;500;500;2000;1500;;;;
;2;1;0;0;0;1324;1324;0;0;0;0;1;AC;500;500;2000;1000;;;;
;1;1;0;0;0;1212;1212;0;0;0;1;-1;AC;1500;500;2000;1000;;;;
;2;1;0;0;0;1179;1179;0;0;0;0;1;AC;1000;1000;2000;500;;;;
;1;1;0;0;0;669;669;0;0;0;0;-1;SP;1000;1500;2000;2000;;;;
;2;2;0;0;0;802;802;0;0;0;0;1;SP;1500;500;2000;1500;;;;
;2;1;0;0;0;1244;1244;0;0;0;0;1;AC;2000;1500;2000;2000;;;;
;2;2;0;0;0;1268;1268;0;0;0;1;1;AC;1500;1000;2000;1000;;;;
;2;2;0;0;0;621;621;0;0;0;1;1;SP;2000;2000;2000;1000;;;;
;1;1;0;0;0;556;556;0;0;0;1;-1;SP;1500;2000;2000;2000;;;;
;2;1;0;0;0;649;649;0;0;0;0;1;AC;1500;1000;2000;500;;;;
;2;1;0;0;0;533;533;0;0;0;0;1;SP;1000;500;2000;1500;;;;
