trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;1;0;0;0;871;871;0;0;0;0;1;AC;1000;1000;2000;500;;;;
;1;1;0;0;0;1119;1119;0;0;0;0;-1;SP;500;2000;2000;500;;;;
;2;2;0;0;0;910;910;0;0;0;1;1;AC;2000;2000;2000;1000;;;;
;1;2;0;0;0;384;384;0;0;0;1;-1;SP;1500;1000;2000;2000;;;;
;2;1;0;0;0;434;434;0;0;0;1;1;SP;500;1500;2000;2000;;;;
;2;1;0;0;0;1196;1196;0;0;0;0;1;AC;1000;2000;2000;500;;;;
;2;2;0;0;0;463;463;0;0;0;0;1;SP;1000;500;2000;1000;;;;
;1;1;0;0;0;503;503;0;0;0;0;-1;SP;500;500;2000;500;;;;
;1;2;0;0;0;1130;1130;0;0;0;0;-1;AC;500;1000;2000;500;;;;
;1;1;0;0;0;487;487;0;0;0;0;-1;SP;500;1500;2000;2000;;;;
;1;2;0;0;0;496;496;0;0;0;0;-1;SP;2000;1500;2000;1500;;;;
;1;1;0;0;0;856;856;0;0;0;1;-1;AC;500;1000;2000;1000;;;;
;2;2;0;0;0;658;658;0;0;0;1;1;AC;2000;2000;2000;500;;;;
;1;1;0;0;0;1259;1259;0;0;0;1;-1;AC;1500;1500;2000;1500;;;;
;1;2;0;0;0;424;424;0;0;0;1;-1;SP;1500;1000;2000;1500;;;;
;2;1;0;0;0;437;437;0;0;0;1;1;SP;500;500;2000;2000;;;;
;2;2;0;0;0;383;383;0;0;0;1;1;SP;2000;1000;2000;1000;;;;
;2;1;0;0;0;536;536;0;0;0;1;1;SP;500;500;2000;1000;;;;
;1;1;0;0;0;519;519;0;0;0;1;-1;SP;1500;2000;2000;500;;;;
;1;1;0;0;0;918;918;0;0;0;1;-1;AC;500;500;2000;2000;;;;
;2;1;0;0;0;1510;1510;0;0;0;0;1;AC;500;500;2000;500;;;;
;2;2;0;0;0;1488;1488;0;0;0;1;1;AC;1500;1500;2000;1000;;;;
;2;1;0;0;0;350;350;0;0;0;1;1;SP;2000;1500;2000;1000;;;;
;2;2;0;0;0;1243;1243;0;0;0;1;1;AC;1000;500;2000;1500;;;;
;2;2;0;0;0;1225;1225;0;0;0;1;1;AC;1500;1500;2000;1000;;;;
;2;1;0;0;0;598;598;0;0;0;1;1;SP;2000;1000;2000;500;;;;
;2;1;0;0;0;1270;1270;0;0;0;0;1;AC;1000;1500;2000;500;;;;
;2;2;0;0;0;360;360;0;0;0;0;1;SP;1500;1500;2000;500;;;;
;2;1;0;0;0;1109;1109;0;0;0;0;1;SP;500;1500;2000;2000;;;;
;1;1;0;0;0;357;357;0;0;0;0;-1;SP;500;2000;2000;2000;;;;
;1;1;0;0;0;338;338;0;0;0;0;-1;SP;1500;2000;2000;1000;;;;
