trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;2;0;0;0;1311;1311;0;0;0;;1;SP;1000;500;2000;2000;;;;
;2;2;0;0;0;1138;1138;0;0;0;;1;SP;2000;500;2000;2000;;;;
;1;1;0;0;0;934;934;0;0;0;1;-1;AC;1500;2000;2000;2000;;;;
;2;2;0;0;0;593;593;0;0;0;1;1;SP;2000;500;2000;2000;;;;
;1;1;0;0;0;744;744;0;0;0;1;-1;AC;1000;500;2000;1000;;;;
;2;2;0;0;0;456;456;0;0;0;1;1;SP;500;1000;2000;1000;;;;
;1;1;0;0;0;1594;1594;0;0;0;1;-1;AC;1500;2000;2000;1500;;;;
;1;2;0;0;0;1094;1094;0;0;0;1;-1;SP;2000;500;2000;1000;;;;
;1;2;0;0;0;873;873;0;0;0;0;-1;AC;2000;1500;2000;1500;;;;
;1;2;0;0;0;1501;1501;0;0;0;0;-1;AC;500;1500;2000;1000;;;;
;1;1;0;0;0;422;422;0;0;0;0;-1;SP;2000;2000;2000;1500;;;;
;2;1;0;0;0;422;422;0;0;0;0;1;AC;500;2000;2000;500;;;;
;2;2;0;0;0;556;556;0;0;0;1;1;AC;1000;1000;2000;1000;;;;
;1;2;0;0;0;590;590;0;0;0;1;-1;SP;1000;1000;2000;500;;;;
;1;2;0;0;0;1219;1219;0;0;0;0;-1;AC;1000;2000;2000;500;;;;
;2;2;0;0;0;1141;1141;0;0;0;1;1;AC;500;1500;2000;1000;;;;
;2;2;0;0;0;639;639;0;0;0;1;1;SP;1500;500;2000;1000;;;;
;1;1;0;0;0;328;328;0;0;0;1;-1;SP;1500;1000;2000;500;;;;
;2;2;0;0;0;1290;1290;0;0;0;1;1;AC;1500;1000;2000;500;;;;
;1;1;0;0;0;607;607;0;0;0;1;-1;AC;1000;2000;2000;2000;;;;
;1;1;0;0;0;842;842;0;0;0;1;-1;AC;500;1500;2000;1000;;;;
;2;1;0;0;0;400;400;0;0;0;1;1;SP;500;1000;2000;500;;;;
;2;2;0;0;0;634;634;0;0;0;1;1;SP;1000;1500;2000;1500;;;;
;1;1;2;0;0;436;436;444;0;0;1;-1;SP;1000;500;2000;2000;;;;
;2;2;0;0;0;527;527;0;0;0;1;1;SP;1500;1000;2000;2000;;;;
;2;1;0;0;0;337;337;0;0;0;1;1;SP;1000;1500;2000;1000;;;;
;2;2;0;0;0;1364;1364;0;0;0;1;1;AC;1500;2000;2000;1000;;;;
;1;1;0;0;0;428;428;0;0;0;1;-1;SP;1000;1500;2000;1000;;;;
;2;2;0;0;0;571;571;0;0;0;1;1;SP;1000;500;2000;1500;;;;
;2;2;0;0;0;474;474;0;0;0;1;1;SP;1000;2000;2000;1500;;;;
;2;2;0;0;0;478;478;0;0;0;1;1;SP;1000;1000;2000;2000;;;;
;1;1;0;0;0;722;722;0;0;0;1;-1;AC;1500;500;2000;2000;;;;
;1;1;0;0;0;1355;1355;0;0;0;1;-1;AC;1500;1000;2000;1000;;;;
;1;1;0;0;0;598;598;0;0;0;1;-1;SP;1500;2000;2000;2000;;;;
;2;2;0;0;0;1323;1323;0;0;0;1;1;AC;1500;1500;2000;1000;;;;
;2;2;0;0;0;1333;1333;0;0;0;1;1;AC;500;1500;2000;500;;;;
;1;1;0;0;0;552;552;0;0;0;1;-1;SP;1000;1000;2000;500;;;;
;2;2;0;0;0;617;617;0;0;0;1;1;SP;500;1000;2000;500;;;;
;1;2;0;0;0;419;419;0;0;0;1;-1;SP;1000;1000;2000;1500;;;;
;2;2;0;0;0;456;456;0;0;0;1;1;SP;1500;2000;2000;1000;;;;
;2;2;0;0;0;622;622;0;0;0;1;1;AC;500;2000;2000;1500;;;;
